client_num,customer_age,gender,dependent_count,education_level,marital_status,state_cd,zipcode,car_owner,house_owner,personal_loan,contact,customer_job,income,cust_satisfaction_score,card_category,annual_fees,activation_30_days,customer_acq_cost,week_start_date,week_num,qtr,current_year,credit_limit,total_revolving_bal,total_trans_amt,total_trans_vol,avg_utilization_ratio,use_chip,exp_type,interest_earned,delinquent_acc
708162558,"43,00",F,"5,00",Graduate,Married,TX,91750,no,yes,no,cellular,Selfemployeed,"12.381,00","2,00",Blue,"420,00","0,00","88,00",01/01/2023,Week-1,Q1,2023,"3.250,00","1.992,00","1.355,00","36,00",0.613,Swipe,Entertainment,189.7,"1,00"
708163758,"54,00",M,"1,00",Graduate,Single,NY,91750,no,yes,no,unknown,White-collar,"123.809,00","1,00",Platinum,"470,00","0,00","158,00",01/01/2023,Week-1,Q1,2023,"34.516,00","638,00","13.085,00","139,00",0.018,Swipe,Bills,2355.3,"0,00"
708170508,"32,00",F,"0,00",Graduate,Married,FL,91750,yes,no,no,unknown,Selfemployeed,"14.975,00","1,00",Blue,"250,00","0,00","72,00",01/01/2023,Week-1,Q1,2023,"-168.681,00","0,00","1.651,00","42,00",0,Swipe,Entertainment,462.28,"0,00"
708171858,"52,00",F,"3,00",Graduate,Married,NY,91750,no,yes,no,unknown,Businessman,"30.586,00","1,00",Blue,"100,00","1,00","104,00",01/01/2023,Week-1,Q1,2023,"1.864,00","1.081,00","2.607,00","44,00",0.58,Swipe,Fuel,312.84,"0,00"
708173433,"43,00",F,"1,00",Graduate,Single,CA,91750,no,no,no,unknown,Retirees,"28.367,00","3,00",Blue,"285,00","0,00","40,00",01/01/2023,Week-1,Q1,2023,"5.645,00","2.324,00","2.482,00","57,00",0.412,Swipe,Food,496.4,"0,00"
708174708,"49,00",F,"0,00",Graduate,Single,NY,91750,yes,no,no,cellular,White-collar,"15.355,00","1,00",Blue,"175,00","1,00","69,00",01/01/2023,Week-1,Q1,2023,"5.535,00","1.276,00","1.764,00","38,00",0.231,Swipe,Fuel,194.04,"0,00"
708176208,"49,00",F,"1,00",Uneducated,Married,CA,91750,no,no,no,cellular,Govt,"53.428,00","2,00",Blue,"465,00","1,00","89,00",01/01/2023,Week-1,Q1,2023,"7.268,00","0,00","4.199,00","80,00",0,Swipe,Food,587.86,"0,00"
708177333,"42,00",F,"3,00",Graduate,Single,CA,91750,yes,yes,no,unknown,Selfemployeed,"7.865,00","2,00",Silver,"460,00","1,00","107,00",01/01/2023,Week-1,Q1,2023,"11.261,00","2.485,00","1.158,00","26,00",0.221,Swipe,Bills,243.18,"0,00"
708178608,"48,00",F,"3,00",Unknown,Unknown,FL,91750,no,no,no,cellular,Blue-collar,"54.304,00","1,00",Blue,"300,00","0,00","111,00",01/01/2023,Week-1,Q1,2023,"2.488,00","0,00","4.226,00","73,00",0,Chip,Grocery,253.56,"0,00"
708185208,"47,00",F,"2,00",Doctorate,Single,CA,91750,no,yes,no,cellular,Selfemployeed,"20.100,00","2,00",Blue,"110,00","1,00","74,00",01/01/2023,Week-1,Q1,2023,"3.178,00","1.118,00","2.010,00","31,00",0.352,Swipe,Bills,180.9,"0,00"
708186933,"47,00",F,"4,00",Unknown,Unknown,CA,91750,no,yes,no,cellular,Blue-collar,"24.295,00","1,00",Blue,"195,00","1,00","102,00",01/01/2023,Week-1,Q1,2023,"1.819,00","725,00","2.254,00","45,00",0.399,Swipe,Bills,270.48,"0,00"
708190158,"47,00",F,"3,00",Unknown,Single,NY,91750,no,yes,no,unknown,Govt,"32.103,00","3,00",Blue,"175,00","0,00","113,00",01/01/2023,Week-1,Q1,2023,"2.920,00","2.426,00","2.750,00","41,00",0.831,Swipe,Food,632.5,"0,00"
708193008,"53,00",F,"2,00",Graduate,Married,CA,91750,no,no,yes,telephone,Selfemployeed,"14.975,00","2,00",Blue,"340,00","0,00","148,00",01/01/2023,Week-1,Q1,2023,"14.480,00","0,00","1.616,00","43,00",0,Online,Entertainment,387.84,"0,00"
708195633,"47,00",F,"4,00",High School,Married,TX,91750,yes,yes,no,unknown,Selfemployeed,"27.517,00","3,00",Silver,"110,00","1,00","70,00",01/01/2023,Week-1,Q1,2023,"34.516,00","1.182,00","2.440,00","54,00",0.034,Online,Entertainment,488,"0,00"
708197358,"42,00",M,"1,00",Uneducated,Married,AK,99504,no,no,yes,cellular,Govt,"107.887,00","1,00",Blue,"225,00","0,00","111,00",01/01/2023,Week-1,Q1,2023,"30.543,00","264,00","7.784,00","63,00",0.009,Online,Food,622.72,"1,00"
708204033,"53,00",M,"2,00",Graduate,Married,CA,91750,yes,no,yes,cellular,Selfemployeed,"51.233,00","1,00",Blue,"295,00","0,00","86,00",01/01/2023,Week-1,Q1,2023,"2.980,00","2.093,00","4.132,00","70,00",0.702,Chip,Travel,826.4,"1,00"
708205083,"54,00",M,"2,00",Graduate,Married,NJ,91750,no,no,no,cellular,Blue-collar,"79.516,00","1,00",Blue,"125,00","1,00","151,00",01/01/2023,Week-1,Q1,2023,"-168.681,00","0,00","4.815,00","81,00",0,Chip,Travel,337.05,"1,00"
708207783,"48,00",M,"1,00",Graduate,Married,NY,91750,no,yes,no,cellular,Blue-collar,"73.959,00","1,00",Blue,"355,00","1,00","107,00",01/01/2023,Week-1,Q1,2023,"1.477,00","0,00","4.680,00","80,00",0,Swipe,Entertainment,514.8,"1,00"
708208758,"42,00",F,"3,00",Doctorate,Single,FL,91750,yes,yes,no,cellular,Blue-collar,"23.377,00","2,00",Blue,"275,00","1,00","85,00",01/01/2023,Week-1,Q1,2023,"1.826,00","883,00","2.199,00","48,00",0.484,Swipe,Fuel,571.74,"1,00"
708211383,"44,00",F,"3,00",Uneducated,Single,TX,91750,no,yes,no,cellular,Retirees,"44.883,00","3,00",Blue,"200,00","0,00","111,00",01/01/2023,Week-1,Q1,2023,"2.664,00","0,00","3.906,00","74,00",0,Online,Fuel,1054.62,"1,00"
708212658,"40,00",F,"3,00",High School,Single,TX,91750,no,no,yes,unknown,Retirees,"16.041,00","2,00",Blue,"190,00","1,00","70,00",01/01/2023,Week-1,Q1,2023,"2.193,00","1.260,00","1.799,00","47,00",0.575,Swipe,Bills,521.71,"1,00"
708216108,"58,00",F,"1,00",Unknown,Married,NY,91750,no,yes,no,cellular,Businessman,"24.221,00","3,00",Blue,"300,00","1,00","93,00",01/01/2023,Week-1,Q1,2023,"4.088,00","1.557,00","2.250,00","39,00",0.381,Swipe,Bills,157.5,"1,00"
708217758,"57,00",F,"1,00",Graduate,Single,CA,91750,no,yes,no,cellular,Selfemployeed,"14.975,00","3,00",Blue,"475,00","0,00","96,00",01/01/2023,Week-1,Q1,2023,"14.035,00","2.061,00","1.606,00","30,00",0.147,Swipe,Bills,385.44,"1,00"
708219108,"38,00",M,"2,00",Graduate,Married,CA,91750,yes,no,no,cellular,Blue-collar,"102.561,00","3,00",Blue,"300,00","1,00","95,00",01/01/2023,Week-1,Q1,2023,"9.959,00","1.143,00","7.300,00","77,00",0.115,Swipe,Grocery,803,"1,00"
708219858,"53,00",F,"1,00",Graduate,Unknown,CA,91750,no,yes,no,cellular,White-collar,"56.697,00","2,00",Blue,"390,00","1,00","79,00",01/01/2023,Week-1,Q1,2023,"6.423,00","0,00","4.295,00","70,00",0,Swipe,Food,901.95,"0,00"
708222558,"60,00",F,"1,00",Uneducated,Single,NJ,91750,no,no,no,cellular,Retirees,"53.022,00","3,00",Blue,"125,00","1,00","109,00",01/01/2023,Week-1,Q1,2023,"2.310,00","1.513,00","4.191,00","77,00",0.655,Chip,Food,712.47,"0,00"
708223383,"51,00",F,"3,00",Uneducated,Married,NY,91750,yes,no,yes,cellular,Businessman,"32.013,00","1,00",Blue,"295,00","0,00","81,00",01/01/2023,Week-1,Q1,2023,"11.410,00","979,00","2.736,00","38,00",0.086,Chip,Bills,793.44,"0,00"
708224133,"39,00",M,"4,00",Graduate,Single,NJ,91750,yes,no,no,cellular,Selfemployeed,"62.192,00","2,00",Blue,"430,00","1,00","105,00",01/01/2023,Week-1,Q1,2023,"2.228,00","1.480,00","4.431,00","71,00",0.664,Swipe,Grocery,841.89,"0,00"
708225483,"38,00",F,"2,00",Post-Graduate,Married,CA,91750,yes,yes,no,cellular,Selfemployeed,"55.061,00","2,00",Blue,"200,00","1,00","68,00",01/01/2023,Week-1,Q1,2023,"11.242,00","1.561,00","4.246,00","81,00",0.139,Swipe,Entertainment,806.74,"0,00"
708226833,"50,00",M,"2,00",High School,Married,NY,91750,no,no,no,unknown,Businessman,"127.461,00","3,00",Gold,"415,00","0,00","96,00",01/01/2023,Week-1,Q1,2023,"34.516,00","831,00","13.247,00","107,00",0.024,Swipe,Food,1192.23,"0,00"
708229308,"37,00",M,"1,00",Uneducated,Single,NY,91750,yes,no,no,cellular,Businessman,"100.839,00","2,00",Blue,"245,00","1,00","72,00",01/01/2023,Week-1,Q1,2023,"3.243,00","0,00","6.059,00","71,00",0,Swipe,Fuel,727.08,"0,00"
708231183,"39,00",F,"1,00",Uneducated,Single,CA,91750,no,no,no,unknown,Retirees,"31.127,00","2,00",Blue,"460,00","0,00","92,00",01/01/2023,Week-1,Q1,2023,"12.539,00","910,00","2.643,00","72,00",0.073,Swipe,Grocery,290.73,"0,00"
708234558,"62,00",M,"0,00",High School,Single,TX,91750,no,yes,no,cellular,Selfemployeed,"67.827,00","3,00",Blue,"200,00","0,00","88,00",01/01/2023,Week-1,Q1,2023,"2.239,00","1.340,00","4.540,00","73,00",0.598,Chip,Entertainment,635.6,"0,00"
708238833,"38,00",F,"2,00",High School,Married,NY,91750,no,yes,no,cellular,Blue-collar,"12.994,00","1,00",Blue,"365,00","1,00","61,00",01/01/2023,Week-1,Q1,2023,"3.032,00","2.215,00","1.387,00","30,00",0.731,Swipe,Fuel,152.57,"0,00"
708241233,"38,00",F,"1,00",Graduate,Married,CA,91750,no,yes,no,unknown,Selfemployeed,"5.225,00","1,00",Blue,"95,00","0,00","73,00",01/01/2023,Week-1,Q1,2023,"2.972,00","0,00","922,00","25,00",0,Swipe,Bills,138.3,"0,00"
708242283,"44,00",F,"1,00",Unknown,Single,TX,91750,no,yes,yes,cellular,Govt,"35.755,00","3,00",Blue,"295,00","1,00","59,00",01/01/2023,Week-1,Q1,2023,"5.346,00","0,00","3.253,00","80,00",0,Swipe,Food,325.3,"0,00"
708243483,"60,00",F,"2,00",High School,Single,TX,91750,yes,no,no,cellular,Retirees,"24.156,00","2,00",Blue,"250,00","0,00","119,00",01/01/2023,Week-1,Q1,2023,"14.938,00","1.155,00","2.248,00","51,00",0.077,Swipe,Bills,427.12,"0,00"
708244458,"26,00",M,"0,00",Graduate,Single,NY,91750,no,yes,no,cellular,White-collar,"37.888,00","3,00",Blue,"405,00","1,00","91,00",01/01/2023,Week-1,Q1,2023,"2.793,00","1.517,00","3.485,00","72,00",0.543,Swipe,Food,383.35,"0,00"
708245808,"41,00",M,"0,00",High School,Unknown,FL,91750,yes,yes,no,telephone,Businessman,"145.701,00","1,00",Gold,"455,00","0,00","78,00",01/01/2023,Week-1,Q1,2023,"19.671,00","924,00","13.908,00","124,00",0.047,Swipe,Travel,2503.44,"0,00"
708248358,"61,00",F,"2,00",Graduate,Married,CA,90094,yes,no,no,unknown,Businessman,"186.885,00","1,00",Silver,"200,00","1,00","67,00",01/01/2023,Week-1,Q1,2023,"29.937,00","0,00","14.863,00","109,00",0,Online,Bills,1932.19,"0,00"
708249708,"39,00",F,"2,00",Graduate,Single,CA,91750,yes,no,no,cellular,Selfemployeed,"14.975,00","1,00",Blue,"300,00","1,00","92,00",01/01/2023,Week-1,Q1,2023,"4.844,00","1.576,00","1.489,00","48,00",0.325,Swipe,Fuel,253.13,"0,00"
708252108,"50,00",F,"1,00",Graduate,Single,FL,91750,no,yes,no,cellular,Selfemployeed,"49.229,00","2,00",Blue,"475,00","1,00","162,00",01/01/2023,Week-1,Q1,2023,"7.362,00","1.907,00","4.065,00","65,00",0.259,Chip,Fuel,243.9,"0,00"
708253458,"45,00",M,"2,00",Unknown,Married,CA,91750,no,yes,no,cellular,Govt,"81.622,00","2,00",Blue,"125,00","1,00","113,00",01/01/2023,Week-1,Q1,2023,"5.528,00","1.823,00","4.857,00","81,00",0.33,Swipe,Food,1408.53,"0,00"
708254733,"56,00",M,"2,00",Graduate,Married,CA,91750,no,no,no,unknown,Blue-collar,"95.152,00","2,00",Blue,"325,00","1,00","73,00",01/01/2023,Week-1,Q1,2023,"2.968,00","1.873,00","5.171,00","85,00",0.631,Swipe,Fuel,1241.04,"0,00"
708255633,"47,00",F,"3,00",Graduate,Single,FL,91750,yes,yes,no,telephone,Blue-collar,"35.666,00","2,00",Blue,"200,00","0,00","110,00",01/01/2023,Week-1,Q1,2023,"3.761,00","1.710,00","3.240,00","65,00",0.455,Swipe,Fuel,550.8,"0,00"
708260208,"48,00",F,"3,00",Graduate,Married,TX,91750,no,yes,no,cellular,White-collar,"57.686,00","1,00",Blue,"150,00","1,00","86,00",01/01/2023,Week-1,Q1,2023,"2.057,00","1.279,00","4.321,00","76,00",0.622,Chip,Food,1123.46,"0,00"
708266883,"37,00",F,"2,00",Graduate,Married,TX,91750,no,yes,yes,cellular,Selfemployeed,"25.423,00","3,00",Blue,"355,00","0,00","136,00",01/01/2023,Week-1,Q1,2023,"1.666,00","0,00","2.312,00","35,00",0,Swipe,Food,184.96,"0,00"
708267858,"33,00",F,"4,00",High School,Single,NJ,91750,no,no,no,cellular,Selfemployeed,"21.500,00","3,00",Blue,"140,00","0,00","115,00",01/01/2023,Week-1,Q1,2023,"6.088,00","2.145,00","2.098,00","52,00",0.352,Swipe,Entertainment,482.54,"0,00"
708269583,"41,00",F,"1,00",High School,Single,NY,91750,no,no,no,cellular,White-collar,"47.653,00","3,00",Blue,"335,00","1,00","102,00",01/01/2023,Week-1,Q1,2023,"2.029,00","1.377,00","4.014,00","86,00",0.679,Chip,Entertainment,1003.5,"0,00"
708271833,"48,00",F,"3,00",Graduate,Married,CA,91750,no,yes,yes,unknown,Govt,"37.680,00","3,00",Silver,"195,00","1,00","63,00",01/01/2023,Week-1,Q1,2023,"15.069,00","1.843,00","3.464,00","67,00",0.122,Online,Bills,831.36,"0,00"
708272808,"41,00",F,"2,00",Unknown,Single,FL,91750,yes,yes,no,cellular,White-collar,"38.560,00","2,00",Blue,"150,00","0,00","76,00",01/01/2023,Week-1,Q1,2023,"2.718,00","1.474,00","3.542,00","59,00",0.542,Chip,Fuel,566.72,"0,00"
708273858,"39,00",F,"1,00",Graduate,Single,NY,91750,no,no,no,cellular,White-collar,"41.203,00","1,00",Blue,"355,00","1,00","112,00",01/01/2023,Week-1,Q1,2023,"34.516,00","0,00","3.734,00","80,00",0,Swipe,Fuel,522.76,"0,00"
708276183,"54,00",F,"2,00",Graduate,Married,TX,91750,no,no,no,cellular,Selfemployeed,"14.975,00","2,00",Blue,"375,00","0,00","91,00",01/01/2023,Week-1,Q1,2023,"1.760,00","0,00","1.554,00","35,00",0,Swipe,Bills,279.72,"0,00"
708281433,"40,00",F,"3,00",Uneducated,Single,NY,91750,yes,no,no,cellular,Businessman,"43.626,00","1,00",Blue,"335,00","0,00","81,00",01/01/2023,Week-1,Q1,2023,"-168.681,00","0,00","3.848,00","75,00",0,Swipe,Food,269.36,"0,00"
708285108,"44,00",M,"4,00",Unknown,Married,TX,91750,yes,no,no,cellular,White-collar,"131.861,00","1,00",Blue,"420,00","1,00","80,00",01/01/2023,Week-1,Q1,2023,"6.128,00","2.239,00","13.505,00","116,00",0.365,Swipe,Fuel,1620.6,"1,00"
708286683,"38,00",M,"1,00",Graduate,Unknown,FL,91750,yes,no,no,cellular,White-collar,"83.306,00","2,00",Blue,"250,00","0,00","67,00",01/01/2023,Week-1,Q1,2023,"12.045,00","1.749,00","4.884,00","86,00",0.145,Swipe,Bills,1123.32,"1,00"
708288108,"29,00",M,"0,00",Graduate,Single,NJ,91750,no,no,no,cellular,Selfemployeed,"1.250,00","3,00",Blue,"360,00","1,00","118,00",01/01/2023,Week-1,Q1,2023,"5.639,00","1.547,00","647,00","15,00",0.274,Swipe,Bills,135.87,"1,00"
708290208,"63,00",F,"2,00",Graduate,Single,NY,91750,yes,no,no,cellular,White-collar,"34.835,00","2,00",Silver,"355,00","1,00","109,00",01/01/2023,Week-1,Q1,2023,"13.608,00","1.190,00","3.118,00","76,00",0.087,Chip,Entertainment,841.86,"1,00"
708291633,"54,00",M,"1,00",Unknown,Single,FL,91750,no,no,no,cellular,Businessman,"92.894,00","1,00",Blue,"390,00","1,00","100,00",01/01/2023,Week-1,Q1,2023,"4.651,00","2.499,00","5.097,00","79,00",0.537,Swipe,Entertainment,1223.28,"1,00"
708292833,"41,00",F,"2,00",Graduate,Married,CA,91750,yes,no,no,cellular,Govt,"32.170,00","3,00",Blue,"150,00","1,00","59,00",01/01/2023,Week-1,Q1,2023,"27.389,00","1.250,00","2.754,00","60,00",0.046,Online,Bills,247.86,"1,00"
708295533,"55,00",M,"2,00",Unknown,Single,FL,91750,no,no,no,cellular,Blue-collar,"10.119,00","2,00",Blue,"250,00","0,00","106,00",01/01/2023,Week-1,Q1,2023,"3.549,00","1.880,00","1.215,00","22,00",0.53,Swipe,Travel,230.85,"1,00"
